PO,Nº PO,Data documento,Data Contabilistica,Classificador economico ,(R)eceita/(D)espesa,Classificador funcional ,Fonte de financiamento ,Programa ,Medida,Projeto,Regionalização,Atividade,Natureza,Departamento/Atividade,Valor ,Observaçoes lançamento,Classificação Orgânica
PO,0,20170101,20171231,04.01.08,R,,311,,,,,,,1,3202605,Taxas Moderadoras,121030100
PO,0,20170101,20171231,04.02.99,R,,311,,,,,,,1,20000,Multas e Penalidades Diversas,121030100
PO,0,20170101,20171231,07.01.09,R,,311,,,,,,,1,721527,Matérias de Consumo,121030100
PO,0,20170101,20171231,07.02.01,R,,311,,,,,,,1,428869,Aluguer de Espaço e Equipamentos,121030100
PO,0,20170101,20171231,07.02.05,R,,311,,,,,,,1,142508035,Internamento,121030100
PO,0,20170101,20171231,07.02.05,R,,311,,,,,,,1,21627,Internamento,121030100
PO,0,20170101,20171231,07.02.99,R,,311,,,,,,,1,4604664,Outros,121030100
PO,0,20170101,20171231,08.01.01,R,,311,,,,,,,1,102904,Prémios,
PO,0,20170101,20171231,06.03.07,R,,311,,,,,,,1,90800,INEM,121030100
PO,0,20170101,20171231,07.02.05,R,,311,,,,,,,1,204995,Internamento,121030100
PO,0,20170101,20171231,10.09.01,R,,311,,,,,,,1,214970,Instituições,121030100
PO,0,20170101,20171231,01.01.02,D,,311,,,,,,,1,210124,Orgãos Sociais,121030100
PO,0,20170101,20171231,01.01.03,D,,311,,,,,,,1,9628711,Pessoal dos quadros - Regime de Função Pública,121030100
PO,0,20170101,20171231,01.01.04,D,,311,,,,,,,1,27514538,Pessoal dos Quadros - Regime de Contrato Individual,121030100
PO,0,20170101,20171231,01.01.06,D,,311,,,,,,,1,669181,Pessoal Contratado a Termo,121030100
PO,0,20170101,20171231,01.01.09,D,,311,,,,,,,1,1091312,Pessoa em qualquer outra situação,121030100
PO,0,20170101,20171231,01.01.11,D,,311,,,,,,,1,79150,Despesas de Representação,121030100
PO,0,20170101,20171231,01.01.13,D,,311,,,,,,,1,2518284,Subsídio de Refeição,121030100
PO,0,20170101,20171231,01.01.14.SF.00,D,,311,,,,,,,1,3396116,Subsídio Férias,121030100
PO,0,20170101,20171231,01.01.14.SN.00,D,,311,,,,,,,1,3396116,Subsídio Natal,121030100
PO,0,20170101,20171231,01.02.02,D,,311,,,,,,,1,3774352,Horas Extraordinárias,121030100
PO,0,20170101,20171231,01.02.04,D,,311,,,,,,,1,6317,Ajudas de Custo,121030100
PO,0,20170101,20171231,01.02.05,D,,311,,,,,,,1,1382,Abono para Falha,121030100
PO,0,20170101,20171231,01.02.09,D,,311,,,,,,,1,811486,Subsídio de Prevenção,121030100
PO,0,20170101,20171231,01.02.10,D,,311,,,,,,,1,1875240,Subsídio de Trabalho Noturno,121030100
PO,0,20170101,20171231,01.02.12.A0.00,D,,311,,,,,,,1,12599,Indemnizações,121030100
PO,0,20170101,20171231,01.02.14,D,,311,,,,,,,1,3243228,Outros abonos em numerário ou Espécie,121030100
PO,0,20170101,20171231,01.03.03,D,,311,,,,,,,1,5463,Subsídio Familiar de Crianças e Jovens,121030100
PO,0,20170101,20171231,01.03.05.A0.A0,D,,311,,,,,,,1,1715896,Caixa Geral de Aposentações,121030100
PO,0,20170101,20171231,01.03.05.A0.B0,D,,311,,,,,,,1,11659820,Segurança Social,121030100
PO,0,20170101,20171231,02.01.02,D,,311,,,,,,,1,31000,Gasolina,121030100
PO,0,20170101,20171231,02.01.05,D,,311,,,,,,,1,1875000,Alimentação,121030100
PO,0,20170101,20171231,02.01.05,D,,311,,,,,,,1,375000,Alimentação,121030100
PO,0,20170101,20171231,02.01.08,D,,311,,,,,,,1,274013,Material de Consumo Administrativo,121030100
PO,0,20170101,20171231,02.01.08,D,,311,,,,,,,1,91004,Material de Consumo Administrativo,121030100
PO,0,20170101,20171231,02.01.09,D,,311,,,,,,,1,14272758,Medicamentos,121030100
PO,0,20170101,20171231,02.01.09,D,,311,,,,,,,1,12794980,Medicamentos,121030100
PO,0,20170101,20171231,02.01.11,D,,311,,,,,,,1,5551000,Material de consumo Clínico,121030100
PO,0,20170101,20171231,02.01.11,D,,311,,,,,,,1,3850000,Material de consumo Clínico,121030100
PO,0,20170101,20171231,02.01.13,D,,311,,,,,,,1,359652,Material de consumo Hoteleiro,121030100
PO,0,20170101,20171231,02.01.13,D,,311,,,,,,,1,119884,Material de consumo Hoteleiro,121030100
PO,0,20170101,20171231,02.01.15,D,,311,,,,,,,1,800,Artigos para Oferta,121030100
PO,0,20170101,20171231,02.01.17,D,,311,,,,,,,1,88733,Clínicos,121030100
PO,0,20170101,20171231,02.01.17,D,,311,,,,,,,1,8067,Clínicos,121030100
PO,0,20170101,20171231,02.01.18,D,,311,,,,,,,1,128295,Livros e Documentação Técnica,121030100
PO,0,20170101,20171231,02.01.18,D,,311,,,,,,,1,11705,Livros e Documentação Técnica,121030100
PO,0,20170101,20171231,02.01.21,D,,311,,,,,,,1,2433050,Material de Manutenção e Conservação,121030100
PO,0,20170101,20171231,02.01.21,D,,311,,,,,,,1,296750,Material de Manutenção e Conservação,121030100
PO,0,20170101,20171231,02.02.01,D,,311,,,,,,,1,1911250,Eletricidade,121030100
PO,0,20170101,20171231,02.02.01,D,,311,,,,,,,1,173750,Eletricidade,121030100
PO,0,20170101,20171231,02.02.02,D,,311,,,,,,,1,1008333,Limpeza,
PO,0,20170101,20171231,02.02.02,D,,311,,,,,,,1,91667,Limpeza,
PO,0,20170101,20171231,02.02.04.A0.00,D,,311,,,,,,,1,239067,Edifícios,121030100
PO,0,20170101,20171231,02.02.04.A0.00,D,,311,,,,,,,1,21733,Edifícios,121030100
PO,0,20170101,20171231,02.02.09.A0.00,D,,311,,,,,,,1,257400,Acessos à Internet,121030100
PO,0,20170101,20171231,02.02.09.B0.00,D,,311,,,,,,,1,23400,Acessos à Internet,121030100
PO,0,20170101,20171231,02.02.10,D,,311,,,,,,,1,1800,Transporte de Mercadorias,121030100
PO,0,20170101,20171231,02.02.11,D,,311,,,,,,,1,2000,Despesas de Representação,121030100
PO,0,20170101,20171231,02.02.12.A0.00,D,,311,,,,,,,1,430346,Viaturas,121030100
PO,0,20170101,20171231,02.02.12.B0.00,D,,311,,,,,,,1,12232,Viaturas,121030100
PO,0,20170101,20171231,02.02.13,D,,311,,,,,,,1,36300,Refeições,121030100
PO,0,20170101,20171231,02.02.14.A0.00,D,,311,,,,,,,1,41250,Estudo,
PO,0,20170101,20171231,02.02.14.B0.00,D,,311,,,,,,,1,3750,Serviços de natureza Informática,121030100
PO,0,20170101,20171231,02.02.15.A0.00,D,,311,,,,,,,1,152000,Formação,121030100
PO,0,20170101,20171231,02.02.17,D,,311,,,,,,,1,9800,Publicidade e Propaganda,121030100
PO,0,20170101,20171231,02.02.18,D,,311,,,,,,,1,1100000,Vigilância e Seguranca,121030100
PO,0,20170101,20171231,02.02.18,D,,311,,,,,,,1,100000,Vigilância e Seguranca,121030100
PO,0,20170101,20171231,02.02.19.A0.00,D,,311,,,,,,,1,517667,Assistência Técnica,121030100
PO,0,20170101,20171231,02.02.19.B0.00,D,,311,,,,,,,1,103333,Eq. informático(Hardware),121030100
PO,0,20170101,20171231,02.02.20.A0.00,D,,311,,,,,,,1,4149241,Serviços de natureza Informática,121030100
PO,0,20170101,20171231,02.02.20.B0.00,D,,311,,,,,,,1,325833,Serviços de natureza Informática,121030100
PO,0,20170101,20171231,02.02.22,D,,311,,,,,,,1,15627492,Especialidades médico/cirurgic - Serviços de saúde,121030100
PO,0,20170101,20171231,02.02.22,D,,311,,,,,,,1,4485010,Especialidades médico/cirurgic - Serviços de saúde,121030100
